id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,176,2,630,2023-03-02,3.69,2,298,45,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,42,1,275,2023-01-30,1.75,1,0,11,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,30,122,2022-10-17,0.76,1,0,5,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,240,3,295,2023-03-09,2.10,1,133,27,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,85,4,48,2021-11-13,0.30,1,36,0,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,160,30,17,2022-12-07,0.12,2,306,3,
18258,3br/2ba Austin WFH Cottage - 15 min to DT,39458,Billy,,78745,30.19756,-97.78754,Entire home/apt,171,3,2,2022-11-12,0.42,1,134,2,
22828,Garage Apartment near South Congress/Riverside,56488,David,,78741,30.23614,-97.73225,Entire home/apt,65,29,50,2022-12-15,0.32,1,207,4,
22982,Clarksville Large 2-1,89031,Gina,,78703,30.28074,-97.75381,Entire home/apt,350,1,166,2023-01-02,1.05,1,124,2,
23496,SXSW pad to crash & regroup,8028,Sylvia,,78702,30.25123,-97.70463,Entire home/apt,200,3,0,,,2,87,0,
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33771,-97.73708,Entire home/apt,221,120,35,2021-07-28,0.22,2,123,0,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,37,2022-11-26,0.25,1,348,3,
47572,Cozy Room in North Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,43,30,7,2022-11-16,0.14,1,219,1,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,136,30,33,2022-08-15,0.22,2,134,2,
57187,"Zilker's Peaceful Haven-Fun, Funky, and Colorful",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,109,1,955,2023-03-15,6.43,2,326,103,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,181,2,213,2023-03-07,1.47,2,306,49,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,134,2,446,2022-03-08,3.04,1,0,0,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,239,2,36,2021-10-25,0.54,1,12,0,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,165,2,175,2023-02-21,1.20,1,44,12,
72833,"Private, Detached Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,132,3,412,2023-03-12,2.82,1,5,25,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,297,4,44,2023-01-04,0.30,1,137,4,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,111,30,59,2023-02-04,0.40,2,67,4,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,194,2,251,2022-11-14,1.72,2,0,12,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,163,2,424,2023-02-26,2.90,2,191,49,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,144,2,222,2023-03-13,1.51,1,48,16,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,893,2,196,2023-02-27,2.03,1,148,27,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.11,1,0,0,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,0,0,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,53,2023-01-15,0.52,1,325,14,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,1143,4,91,2022-10-17,1.24,2,122,1,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (3br 1ba E. Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,79,4,11,2023-02-03,0.08,1,108,5,
78731,Large Room and Private Bath in Central East Austin,423131,Robin,,78702,30.27011,-97.72693,Private room,120,3,215,2022-11-13,1.61,2,145,30,
78884,Cozy Barton Hills Studio | Walk to Zilker Park,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,148,2,190,2023-02-24,1.30,8,0,20,
79100,Bungalow-New Hot Tub-51st Area- G.Fiber-Monthly,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,127,30,38,2022-10-09,0.31,4,67,6,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.24,2,0,0,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,357,2,4,2021-05-30,0.07,1,179,0,
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,77,2,259,2023-03-15,1.85,1,334,33,
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.24,2,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,341,45,118,2023-02-05,0.92,12,101,2,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,203,1,112,2022-10-24,0.78,2,358,8,
90957,"SOCO Austin, TX Guest Room in 2Bedroom House",236847,Lester,,78704,30.24574,-97.74828,Private room,84,1,5,2022-11-13,0.04,2,360,2,
104099,SXSW: Iconic Zilker West Neighborhood Guest Suite,213651,Daniel,,78704,30.254535068933667,-97.77675650778289,Entire home/apt,137,1,236,2023-03-06,1.69,2,74,40,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,138,2022-11-12,0.96,2,252,3,
104394,SanctuarySuite on Preserve near Downtown,543424,Jill,,78745,30.20276,-97.82506,Private room,56,29,74,2013-04-18,0.51,1,66,0,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,127,20,98,2023-03-12,0.72,10,320,7,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.01,3,0,0,
128326,Austin City Limits by preserve. Private Pool!,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,289,3,83,2022-12-04,0.59,1,299,13,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,249,20,87,2023-01-02,0.63,10,346,6,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,218,20,95,2023-02-20,0.68,10,313,12,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,150,30,206,2022-11-09,1.64,1,112,4,
155359,TheTramHouse,372205,Keith,,78732,30.41813,-97.88915,Entire home/apt,400,7,34,2022-10-16,0.25,2,32,1,
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,899,4,17,2022-06-18,0.13,1,180,1,
167459,SXSW and ACL 4 bedroom in Austin!,628942,Marnie,,78746,30.27767,-97.79126,Entire home/apt,800,3,8,2022-02-22,0.06,1,363,0,
