id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,150,3,34,2020-06-15,0.26,3,307
11169,Lovely Studio Room: Thu-Mons Near Universities!,40965,Judy,,North Cambridge,42.39469,-71.13223,Private room,105,2,145,2020-01-17,1.16,2,364
11945,Near Harvard: Safe & Lovely Room,40965,Judy,,North Cambridge,42.39454,-71.13431,Private room,75,3,34,2020-02-26,0.26,2,0
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,185,4,6,2018-08-04,0.05,3,0
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,110,2,86,2020-03-15,0.87,1,125
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.37606,-71.14041,Private room,110,2,178,2020-01-08,1.45,1,357
26531,CENTRAL LOCATION IN HEART OF CAMBRIDGE,87398,Ari,,Riverside,42.3719,-71.11569,Entire home/apt,200,4,4,2018-11-04,0.03,2,365
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,250,5,11,2019-09-15,0.09,3,365
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,225,3,350,2020-02-06,3.15,2,1
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,260,5,15,2019-08-24,0.14,3,1
108898,"""The Treehouse"" :  Elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,130,2,18,2019-07-22,0.16,3,324
219471,"A+ Clean & Safe 1Br @ MIT, Kendall, Back Bay",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,144,10,59,2019-11-10,0.57,1,365
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Mid-Cambridge,42.36771,-71.1058,Entire home/apt,225,30,173,2019-11-10,1.64,8,105
280304,#17-2 Large 1BR Apt. in Harvard Sq!,1461240,Monica,,Riverside,42.37036,-71.11496,Entire home/apt,194,3,57,2020-01-31,0.79,4,18
